,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
#,Question,Answer,Intent,Terminal,language
1,"Mera bag nahi aya, kya karun?",Aap Lost & Found counter pe chalein jo Belt 3 ke paas hai. Wahan staff aapka complaint register karega aur bag trace karega.,Lost_Found,Arrival,roman
2,Lost and Found counter kahan hai?,Ye Arrival Hall ke andar Customs area ke paas Belt 2 ke side pe hai.,Lost_Found,Arrival,roman
3,"Mera passport plane mein reh gaya hai, ab kya karun?","Apni airline ke counter pe turant report karein, wo crew se contact karke passport retrieve karte hain.",Lost_Found,Arrival,roman
4,Kya Islamabad Airport pe Lost & Found service available hai?,"Haan, ye 24 ghante chalu rehti hai Arrival Hall mein Customs ke paas.",Lost_Found,Arrival,roman
5,"Mera saman kahin ghum gaya hai, report kaise karun?",Aap Lost & Found counter pe form bhar ke report kar sakte hain ya helpline pe call karen.,Lost_Found,Arrival,roman
6,"Mera suitcase damage ho gaya hai, kahan jaoon?","Apni airline ke baggage claim desk pe ja kar complaint likhwa dein, wo claim process start karenge.",Lost_Found,Arrival,roman
7,"Mujhe kisi ka bag mila hai, kya karun?",Us bag ko nearest security guard ya Lost & Found counter pe jama kara dein.,Lost_Found,Arrival,roman
8,Ghumshuda saman milne mein kitna time lagta hai?,Aksar 24 se 48 ghante lagte hain depending flight aur tracing details par.,Lost_Found,Arrival,roman
9,Lost & Found ka timing kya hai?,"Ye office 24 hours open rehta hai, har waqt staff available hota hai.",Lost_Found,Arrival,roman
10,Kya koi helpline number hai lost items ke liye?,"Haan, aap +92-51-111-786-787 pe call karke report kar sakte hain.",Lost_Found,Arrival,roman
11,"Mera wallet immigration area mein gir gaya, kya karun?","Aap security ya Lost & Found office ko inform karein, wo turant CCTV se trace karte hain.",Lost_Found,Arrival,roman
12,Kya main email se complaint bhej sakta hoon?,"Haan, lostfound@islamabadairport.com pe apni flight aur item details bhej dein.",Lost_Found,Arrival,roman
13,"Mera bag Dubai se nahi aya, kahan complain karun?",Airline ke arrival counter ya Lost & Found desk pe report karein. Airline aur staff dono milkar trace karenge.,Lost_Found,Arrival,roman
14,Lost item lene ke liye kya documents chahiye?,CNIC ya passport aur item ka proof of ownership dikhana zaroori hai.,Lost_Found,Arrival,roman
