Query,Language,Intent,Terminal,Response
Where can I find the currency exchange counter?,English,Facilities,Arrival,The currency exchange counter is located in the Arrival terminal near Gate 6. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the airport hotel desk?,English,Facilities,Arrival,The airport hotel desk is located in the Arrival terminal near Gate 6. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the medical emergency room?,English,Facilities,Arrival,The medical emergency room is located in the Arrival terminal near Gate 4. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the mobile SIM kiosk?,English,Facilities,Arrival,The mobile SIM kiosk is located in the Arrival terminal near Gate 3. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the arrival exit gate?,English,Facilities,Arrival,The arrival exit gate is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the metro ticket booth?,English,Facilities,Arrival,The metro ticket booth is located in the Arrival terminal near Gate 6. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the tourist lounge?,English,Facilities,Arrival,The tourist lounge is located in the Arrival terminal near Gate 9. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the airport police office?,English,Facilities,Arrival,The airport police office is located in the Arrival terminal near Gate 2. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the lost child desk?,English,Facilities,Arrival,The lost child desk is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the snack bar?,English,Facilities,Arrival,The snack bar is located in the Arrival terminal near Gate 5. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the self check-in kiosk?,English,Facilities,Arrival,The self check-in kiosk is located in the Arrival terminal near Gate 5. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the travel assistance counter?,English,Facilities,Arrival,The travel assistance counter is located in the Arrival terminal near Gate 9. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the free Wi-Fi zone?,English,Facilities,Arrival,The free Wi-Fi zone is located in the Arrival terminal near Gate 6. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the charging point?,English,Facilities,Arrival,The charging point is located in the Arrival terminal near Gate 7. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the baggage wrapping area?,English,Facilities,Arrival,The baggage wrapping area is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the arrival hall restroom?,English,Facilities,Arrival,The arrival hall restroom is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the prayer area?,English,Facilities,Arrival,The prayer area is located in the Arrival terminal near Gate 6. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the airport information booth?,English,Facilities,Arrival,The airport information booth is located in the Arrival terminal near Gate 3. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the taxi booking counter?,English,Facilities,Arrival,The taxi booking counter is located in the Arrival terminal near Gate 8. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the ride sharing pickup zone?,English,Facilities,Arrival,The ride sharing pickup zone is located in the Arrival terminal near Gate 1. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the bus terminal?,English,Facilities,Arrival,The bus terminal is located in the Arrival terminal near Gate 7. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the metro station exit?,English,Facilities,Arrival,The metro station exit is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the public phone booth?,English,Facilities,Arrival,The public phone booth is located in the Arrival terminal near Gate 2. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the emergency medical aid?,English,Facilities,Arrival,The emergency medical aid is located in the Arrival terminal near Gate 9. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the complaint counter?,English,Facilities,Arrival,The complaint counter is located in the Arrival terminal near Gate 4. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the feedback kiosk?,English,Facilities,Arrival,The feedback kiosk is located in the Arrival terminal near Gate 3. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the arrival help desk?,English,Facilities,Arrival,The arrival help desk is located in the Arrival terminal near Gate 8. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the bank branch?,English,Facilities,Arrival,The bank branch is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the drinking water dispenser?,English,Facilities,Arrival,The drinking water dispenser is located in the Arrival terminal near Gate 9. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the disabled assistance desk?,English,Facilities,Arrival,The disabled assistance desk is located in the Arrival terminal near Gate 8. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the wheelchair pickup point?,English,Facilities,Arrival,The wheelchair pickup point is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the VIP arrival gate?,English,Facilities,Arrival,The VIP arrival gate is located in the Arrival terminal near Gate 10. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the special assistance counter?,English,Facilities,Arrival,The special assistance counter is located in the Arrival terminal near Gate 1. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the foreign exchange desk?,English,Facilities,Arrival,The foreign exchange desk is located in the Arrival terminal near Gate 1. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the airline ticket counter?,English,Facilities,Arrival,The airline ticket counter is located in the Arrival terminal near Gate 1. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the arrival gate security?,English,Facilities,Arrival,The arrival gate security is located in the Arrival terminal near Gate 3. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the parking ticket booth?,English,Facilities,Arrival,The parking ticket booth is located in the Arrival terminal near Gate 6. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the arrival luggage carts?,English,Facilities,Arrival,The arrival luggage carts is located in the Arrival terminal near Gate 8. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
Where can I find the baby feeding area?,English,Facilities,Arrival,The baby feeding area is located in the Arrival terminal near Gate 3. Follow the blue signs marked 'Arrival Facilities' for directions or ask staff nearby for help.
