#,User Query,Chatbot Response,Intent,Terminal,Language,,,
1,My luggage didn’t arrive. What should I do?,Please visit the Lost & Found counter near Belt 3 in the arrival hall. The staff will register a report and help trace your baggage through your airline’s tracking system.,Lost_found_info,Arrival,English,,,
2,Where is the Lost and Found desk located?,"It’s located beside Belt 2 in the international arrivals area at Islamabad Airport, next to the Customs exit. Look for the blue “Lost & Found” signage.",Lost_found_info,Arrival,English,,,
3,I lost my passport on the plane. Whom should I contact?,Immediately visit your airline’s arrival counter or the Lost & Found office. Airport security will assist in coordinating with the airline to retrieve it.,Lost_found_info,Arrival,English,,,
4,Is there a Lost and Found office at Islamabad Airport?,"Yes, it operates 24/7 beside the customs area in the arrivals terminal. The staff handles lost baggage, travel documents, and personal items.",Lost_found_info,Arrival,English,,,
5,How can I report my missing bag?,"Go to the airline’s baggage claim counter or Lost & Found section, provide your baggage tag and flight number, and fill out a missing baggage form.",Lost_found_info,Arrival,English,,,
6,My suitcase is damaged. Can I file a complaint?,"Yes, report damaged baggage at your airline’s claim counter before leaving the hall. Airlines usually inspect and log the damage immediately.",Lost_found_info,Arrival,English,,,
7,I found someone’s bag. Where should I return it?,Hand it over to airport security or directly to the Lost & Found counter. Please don’t open it — staff will record it and contact the rightful owner.,Lost_found_info,Arrival,English,,,
8,How long does it take to recover lost luggage?,"It usually takes 24–48 hours, depending on airline tracing and connecting flights. The staff will contact you as soon as your baggage arrives.",Lost_found_info,Arrival,English,,,
9,What are the Lost & Found office hours?,The office is open round-the-clock to help passengers from both domestic and international flights. You can visit anytime after landing.,Lost_found_info,Arrival,English,,,
10,Is there a helpline number for missing items?,"Yes, you can call +92-51-111-786-787 or email lostfound@islamabadairport.com for quick assistance. Keep your flight details ready.",Lost_found_info,Arrival,English,,,
11,I lost my wallet near immigration. What should I do?,Report it immediately to the airport security desk or Lost & Found office. They will check CCTV and coordinate with cleaning staff.,Lost_found_info,Arrival,English,,,
12,Can I email about my missing luggage?,"Yes, email your flight number, description, and contact details to lostfound@islamabadairport.com. You’ll get a tracking reference within 24 hours.",Lost_found_info,Arrival,English,,,
13,My bag didn’t arrive from Dubai. Who will help me?,Report it at your airline’s arrival desk. They will coordinate with the Dubai ground staff and the Lost & Found team here to trace it.,Lost_found_info,Arrival,English,,,
14,What documents do I need to claim my lost item?,You’ll need your passport or CNIC and any proof of ownership like baggage tags or purchase receipts.,Lost_found_info,Arrival,English,,,
15,I left my phone in the restroom. What should I do?,"Visit the Lost & Found counter and provide the restroom location and time. If found, staff will verify ownership and return it.",Lost_found_info,Arrival,English,,,
16,Can someone else collect my lost item for me?,"Yes, another person can collect it with your written authorization and a copy of both IDs.",Lost_found_info,Arrival,English,,,
17,Is there CCTV coverage in the baggage area?,"Yes, all belts and surrounding areas are under 24/7 CCTV surveillance. Footage can be reviewed by authorized staff upon request.",Lost_found_info,Arrival,English,,,
18,How long are lost items kept at the airport?,"Unclaimed items are stored safely for 90 days in the Lost & Found storage area, after which they are handed to authorities.",Lost_found_info,Arrival,English,,,
19,I found a passport at the waiting area. What do I do?,Please hand it to the immigration counter or Lost & Found staff. They handle sensitive documents with priority.,Lost_found_info,Arrival,English,,,
20,My baggage tag is missing. Can my bag still be traced?,"Yes, if you provide flight details, name, and bag description, staff can track it through the airline database.",Lost_found_info,Arrival,English,,,
21,Is there a separate Lost & Found for domestic flights?,"Yes, domestic arrivals have a separate desk near Belt 1 for passengers of PIA, Airblue, and Serene Air.",Lost_found_info,Arrival,English,,,
22,I lost my gold jewelry. Is there a way to recover it?,"Report it immediately to Lost & Found. Valuable items like jewelry are logged, sealed, and stored under supervision.",Lost_found_info,Arrival,English,,,
23,Can I check online if my item has been found?,"Currently, online lookup isn’t active, but the helpline can confirm by checking the item list manually.",Lost_found_info,Arrival,English,,,
24,What happens if nobody claims a lost item?,It’s stored for 90 days and then transferred to airport authorities for disposal or donation.,Lost_found_info,Arrival,English,,,
25,My child’s stroller didn’t come with our luggage.,Report it at the baggage desk; strollers sometimes come on later flights or through special handling.,Lost_found_info,Arrival,English,,,
26,Who manages Lost & Found at Islamabad Airport?,The Airport Facilitation Department (AFD) manages the Lost & Found service under airport operations.,Lost_found_info,Arrival,English,,,
27,Can I get compensation for my lost baggage?,Compensation policies vary by airline. File a Property Irregularity Report (PIR) to initiate a claim.,Lost_found_info,Arrival,English,,,
28,How do I identify my bag if it’s found?,"Describe color, size, brand, and any labels or stickers. Staff match it with stored items before release.",Lost_found_info,Arrival,English,,,
29,Is there any fee for claiming a lost item?,"No, Lost & Found services are free for all passengers at Islamabad International Airport.",Lost_found_info,Arrival,English,,,
30,Can I get help if I lost something in the taxi area?,"Yes, report it to the airport police post at the arrival exit, or visit Lost & Found for coordination.",Lost_found_info,Arrival,English,,,
31,I lost my smartwatch during arrival. Can it be tracked?,"Smart devices are logged with serial numbers. If found, staff can identify it and contact you.",Lost_found_info,Arrival,English,,,
32,I found a mobile phone near baggage claim. What should I do?,Submit it at the Lost & Found desk. Staff record its IMEI and store it securely.,Lost_found_info,Arrival,English,,,
33,My baggage arrived late. Will it be delivered to my home?,Many airlines offer home delivery for delayed bags within Islamabad and Rawalpindi. Confirm at your airline desk.,Lost_found_info,Arrival,English,,,
34,I forgot my laptop on the plane.,Contact your airline immediately; the crew or ground staff will retrieve it if found.,Lost_found_info,Arrival,English,,,
35,Is the Lost and Found office inside or outside arrivals?,"It’s located inside the arrivals hall, next to the customs clearance area.",Lost_found_info,Arrival,English,,,
36,Can I call to check the status of my report?,"Yes, call the helpline with your case number. Staff will update you on progress.",Lost_found_info,Arrival,English,,,
37,I lost a gold ring yesterday. Is it possible it’s found?,"If found, it will be in secure storage. Bring your ID to check with the Lost & Found supervisor.",Lost_found_info,Arrival,English,,,
38,My luggage lock is broken. Whom should I report to?,Inform your airline’s baggage claim counter; they handle damage reports on arrival.,Lost_found_info,Arrival,English,,,
39,Can I claim another person’s item with permission?,"Yes, with an authorization letter, ID copies, and item details.",Lost_found_info,Arrival,English,,,
40,What if my bag looks similar to someone else’s?,Confirm the baggage tag before leaving. Staff can assist with verification.,Lost_found_info,Arrival,English,,,
41,I forgot my jacket on the conveyor belt.,Go to Lost & Found with your flight number and time; such items are usually logged quickly.,Lost_found_info,Arrival,English,,,
42,Are lost items checked daily?,"Yes, all found items are cataloged and verified every 12 hours by the Lost & Found team.",Lost_found_info,Arrival,English,,,
43,I left a file in the waiting area. Can I get it back?,Visit the Lost & Found office; files and documents are kept in the secure section.,Lost_found_info,Arrival,English,,,
44,Is there a WhatsApp number for Lost & Found?,"Not yet, but the team can be reached by phone or email anytime.",Lost_found_info,Arrival,English,,,
45,Can I send someone to pick my lost bag tomorrow?,"Yes, with an authorization letter and CNIC copy of both individuals.",Lost_found_info,Arrival,English,,,
46,I left my book on a trolley.,Check at Lost & Found; small items are collected from trolleys daily.,Lost_found_info,Arrival,English,,,
47,Can I track my complaint online?,Tracking is currently manual; call with your case reference for updates.,Lost_found_info,Arrival,English,,,
48,How soon should I report missing baggage?,Immediately after noticing the loss. Quick reporting increases recovery chances.,Lost_found_info,Arrival,English,,,
49,What if my bag was mistakenly taken by someone else?,Lost & Found reviews CCTV footage and contacts passengers through airline data.,Lost_found_info,Arrival,English,,,
50,I lost my identity card at the airport.,Report it at the Lost & Found and local police helpdesk for documentation.,Lost_found_info,Arrival,English,,,
51,My bag arrived torn and missing items.,Please report it immediately to your airline’s claim counter. They’ll inspect the damage and initiate a compensation or replacement procedure.,Lost_found_info,Arrival,English,,,
52,I lost my CNIC while exiting the terminal.,Visit the Lost & Found desk and report it. They maintain a list of found documents and coordinate with airport security.,Lost_found_info,Arrival,English,,,
53,How can I know if my bag was sent on another flight?,The airline can trace it through the baggage tag number. Lost & Found will update you once it arrives.,Lost_found_info,Arrival,English,,,
54,I lost my suitcase lock keys. Can airport staff help?,"For security reasons, staff can’t break locks, but airline maintenance can assist with verification and unlocking if needed.",Lost_found_info,Arrival,English,,,
55,My luggage came wet or soaked. What can I do?,Report it to your airline within the arrival area. They’ll note the condition and offer assistance for damaged contents.,Lost_found_info,Arrival,English,,,
56,Can I claim insurance for lost baggage?,"Yes, if you purchased travel insurance, file your claim using the Lost & Found report and airline documentation.",Lost_found_info,Arrival,English,,,
57,I lost my baggage receipt tag. How can I identify my luggage?,"Describe the bag’s color, brand, and any marks. Staff can verify ownership through your flight details.",Lost_found_info,Arrival,English,,,
58,My luggage came late but without a tag. What to do?,Report it to the Lost & Found section. They’ll check the tagless baggage list and confirm via airline data.,Lost_found_info,Arrival,English,,,
59,Can I report lost luggage after leaving the airport?,"Yes, you can email or call the Lost & Found office within 24 hours with your flight and contact information.",Lost_found_info,Arrival,English,,,
60,How do I know if someone submitted my lost item?,The Lost & Found staff match reports daily and will contact you through the number provided in your complaint.,Lost_found_info,Arrival,English,,,
61,What if my bag was mistakenly checked to another destination?,The airline will reroute it to Islamabad. You’ll be contacted once it arrives.,Lost_found_info,Arrival,English,,,
62,Can I get a written confirmation for my lost item report?,"Yes, you’ll receive a printed acknowledgment with your case reference number for future tracking.",Lost_found_info,Arrival,English,,,
63,My luggage was delayed by a day. Will I be informed?,"Once your baggage arrives, Lost & Found will notify you through SMS or phone call.",Lost_found_info,Arrival,English,,,
64,I forgot a baby bag on the seat in arrivals.,Visit Lost & Found immediately. Such items are logged quickly and stored separately for easy retrieval.,Lost_found_info,Arrival,English,,,
65,My luggage handle broke during transit.,Report it to your airline before leaving. Airlines often provide repair or reimbursement options.,Lost_found_info,Arrival,English,,,
66,Can Lost & Found share CCTV footage with me?,CCTV footage can be viewed only by authorized personnel upon written request or police involvement.,Lost_found_info,Arrival,English,,,
67,I found someone’s passport. Can I hand it to the airline?,"You may, but the recommended step is to submit it to the Lost & Found or immigration desk for secure handling.",Lost_found_info,Arrival,English,,,
68,I lost my glasses near the exit area.,Check with the Lost & Found desk; small personal items like glasses are usually turned in by cleaning staff.,Lost_found_info,Arrival,English,,,
69,What if my baggage was sent to another city?,The airline and Lost & Found team will coordinate to forward it to Islamabad and notify you.,Lost_found_info,Arrival,English,,,
