Query,Language,Intent,Terminal,Response
currency exchange counter kahan hai?,Roman Urdu,Facilities,Arrival,currency exchange counter Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
airport hotel desk kahan hai?,Roman Urdu,Facilities,Arrival,airport hotel desk Arrival terminal mein Gate 2 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
medical emergency room kahan hai?,Roman Urdu,Facilities,Arrival,medical emergency room Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
mobile SIM kiosk kahan hai?,Roman Urdu,Facilities,Arrival,mobile SIM kiosk Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
arrival exit gate kahan hai?,Roman Urdu,Facilities,Arrival,arrival exit gate Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
metro ticket booth kahan hai?,Roman Urdu,Facilities,Arrival,metro ticket booth Arrival terminal mein Gate 3 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
tourist lounge kahan hai?,Roman Urdu,Facilities,Arrival,tourist lounge Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
airport police office kahan hai?,Roman Urdu,Facilities,Arrival,airport police office Arrival terminal mein Gate 5 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
lost child desk kahan hai?,Roman Urdu,Facilities,Arrival,lost child desk Arrival terminal mein Gate 10 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
snack bar kahan hai?,Roman Urdu,Facilities,Arrival,snack bar Arrival terminal mein Gate 7 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
self check-in kiosk kahan hai?,Roman Urdu,Facilities,Arrival,self check-in kiosk Arrival terminal mein Gate 9 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
travel assistance counter kahan hai?,Roman Urdu,Facilities,Arrival,travel assistance counter Arrival terminal mein Gate 4 ke paas hai. 'Arrival Facilities' ke sign follow karein ya staff se madad lein.
