#,مسافر کا سوال,چیٹ بوٹ کا جواب, ارادہ,سیاق و سباق, زبان,,,,,,,,
1,میرا بیگ نہیں آیا، کیا کروں؟,براہ کرم ارائیول ہال میں بیلٹ نمبر 3 کے قریب موجود لاسٹ اینڈ فاؤنڈ کاؤنٹر پر جائیں، عملہ رپورٹ درج کرے گا اور آپ کا بیگ ٹریس کرے گا۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
2,لاسٹ اینڈ فاؤنڈ آفس کہاں ہے؟,یہ کسٹمز ایریا کے قریب بیلٹ 2 کے پاس واقع ہے، ارائیول ہال میں نیلا “Lost & Found” بورڈ لگا ہوا ہے۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
3,میرا پاسپورٹ جہاز میں رہ گیا، کیا کروں؟,فوراً اپنی ایئرلائن کے کاؤنٹر یا لاسٹ اینڈ فاؤنڈ آفس سے رابطہ کریں، عملہ جہاز کے عملے سے چیز واپس دلائے گا۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
4,کیا اسلام آباد ایئرپورٹ پر لاسٹ اینڈ فاؤنڈ موجود ہے؟,جی ہاں، یہ دفتر 24 گھنٹے کھلا رہتا ہے اور تمام گمشدہ سامان کی شکایات وصول کرتا ہے۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
5,میرا سامان نہیں ملا، رپورٹ کیسے کروں؟,ایئرلائن کے بیگیج کلیم کاؤنٹر یا لاسٹ اینڈ فاؤنڈ پر جا کر فارم بھریں اور بیگیج ٹیگ نمبر فراہم کریں۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
6,میرا سوٹ کیس خراب ہو گیا ہے، شکایت کہاں کروں؟,اپنی ایئرلائن کے بیگیج کلیم کاؤنٹر پر رپورٹ درج کروائیں تاکہ نقصان کا ازالہ کیا جا سکے۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
7,میں نے کسی کا بیگ پایا ہے، کہاں جمع کرواؤں؟,قریبی سیکیورٹی گارڈ یا لاسٹ اینڈ فاؤنڈ کاؤنٹر پر جمع کروائیں، عملہ مالک سے رابطہ کرے گا۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
8,میرا سامان کتنے دن میں واپس ملے گا؟,عام طور پر 24 سے 48 گھنٹوں میں، ایئرلائن کے تعاون سے سامان ٹریس کر لیا جاتا ہے۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
9,لاسٹ اینڈ فاؤنڈ کے اوقات کار کیا ہیں؟,یہ دفتر دن رات 24 گھنٹے مسافروں کے لیے کھلا رہتا ہے۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
10,گم شدہ سامان کے لیے فون نمبر ہے؟,جی ہاں، +92-51-111-786-787 پر رابطہ کریں یا lostfound@islamabadairport.com پر ای میل کریں۔,گمشدہ اشیاء کی معلومات,آمد,اُردو,,,,,,,,
